,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
   HEV,,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,
   Other fuel,,-2.366,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Electric,,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,1.360,
   Hydrogen,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car emissions [ktCO2/year],494.386,485.381,477.167,468.953,460.738,452.524,444.310,436.096,427.881,419.667,411.453,403.239,395.024,381.837,368.649,355.461,342.273,329.085,315.563,301.702,287.841,273.979,260.118,246.256,232.395,218.533,204.672,190.810,176.949,
   Diesel,194.688,196.214,197.739,199.265,200.790,202.316,203.841,205.367,206.892,208.418,209.943,211.469,212.994,212.994,212.994,212.994,212.994,212.994,203.416,184.094,164.772,145.450,126.128,106.806,87.484,68.162,48.840,29.518,10.196,
   Petrol,273.407,269.849,254.649,239.448,224.248,209.048,193.848,178.647,163.447,148.247,133.047,117.846,102.646,83.998,65.349,46.701,28.052,9.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   HEV,13.858,18.965,24.072,29.180,34.287,39.394,44.501,49.608,54.716,59.823,64.930,70.037,75.145,80.252,85.359,90.466,95.574,100.681,105.788,110.895,116.002,121.110,126.217,131.324,136.431,141.539,146.646,151.753,156.860,
   Other fuel,12.433,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
